,country,region,city,iata_code,latitude,longitude,iata_sky_code
0,MH,MH-UTI,utirik island,UTK,11.222,169.852005,UTK_sky
1,US,US-FL,key largo,OCA,25.325399398804,-80.274803161621,OCA_sky
2,US,US-AK,pilot station,PQS,61.934601,-162.899994,PQS_sky
3,US,US-CO,crested butte,CSE,38.851918,-106.928341,CSE_sky
4,US,US-TX,johnson city,JCY,30.251800537100003,-98.62249755859999,JCY_sky
5,US,US-MA,palmer,PMX,42.223300933800004,-72.31140136719999,PMX_sky
6,US,US-AK,loring,WLR,55.6012992859,-131.636993408,WLR_sky
7,US,US-AK,nunapitchuk,NUP,60.905591,-162.440454,NUP_sky
8,US,US-AK,port alice,PTC,55.803,-133.597,PTC_sky
9,US,US-AK,icy bay,ICY,59.966269,-141.660118,ICY_sky
10,US,US-AK,port protection,PPV,56.328800201416,-133.61000061035,PPV_sky
11,US,US-AK,kalakaket creek,KKK,64.4166256967,-156.820392609,KKK_sky
12,US,US-CA,dunsmuir,MHS,41.263199,-122.272003,MHS_sky
13,US,US-TX,beeville,NIR,28.362444,-97.661917,NIR_sky
14,US,US-AZ,whitmore,GCT,36.258614,-113.231159,GCT_sky
15,US,US-AK,ellamar,ELW,60.893818,-146.704038,ELW_sky
16,US,US-AK,lime village,LVD,61.3591003418,-155.440002441,LVD_sky
17,US,US-AK,hogatza,HGZ,66.2161026,-155.6690063,HGZ_sky
18,US,US-IN,oaktown,OTN,38.851398468,-87.4997024536,OTN_sky
19,US,US-AK,telida,TLF,63.393901824951,-153.26899719238,TLF_sky
20,US,US-TX,brazoria,BZT,28.982200622559,-95.579696655273,BZT_sky
21,US,US-AK,entrance island,HBH,57.412201,-133.43848,HBH_sky
22,US,US-AK,false island,FAK,57.5321998596,-135.212997437,FAK_sky
23,US,US-WA,blakely island,BYW,48.578998565700005,-122.825996399,BYW_sky
24,US,US-AK,kenai,DRF,60.588901519800004,-152.162002563,DRF_sky
25,US,US-IL,bradford,BDF,41.230899810800004,-89.61569976810001,BDF_sky
26,US,US-MO,versailles,VRS,38.427799224854,-92.875198364258,VRS_sky
27,US,US-AK,golden horn lodge,GDH,59.7470016479,-158.875,GDH_sky
28,US,US-AK,atmautluak,ATT,60.866699,-162.272995,ATT_sky
29,US,US-AK,livengood,LIV,65.467,-148.6534,LIV_sky
30,US,US-AK,pedro bay,PDB,59.7896003723,-154.12399292,PDB_sky
31,US,US-AK,ouzinkie,KOZ,57.925362,-152.496715,KOZ_sky
32,US,US-AK,tununak,TNK,60.575500488281,-165.27200317383,TNK_sky
33,US,US-TX,evadale,EVA,30.3209991455,-94.07350158690001,EVA_sky
34,US,US-AK,hyder,WHD,55.903324,-130.009975,WHD_sky
35,US,US-AK,minto,MNT,65.1437,-149.369995,MNT_sky
36,US,US-AK,tokeen,TKI,55.9370994568,-133.32699585,TKI_sky
37,US,US-AK,aleknagik,WKK,59.2826004028,-158.617996216,WKK_sky
38,US,US-AK,ketchikan,WFB,55.349899,-131.677002,WFB_sky
39,US,US-AK,naknek,NNK,58.732898712158,-157.02000427246,NNK_sky
40,US,US-AK,katmai national park,BKF,58.554798126221,-155.77699279785,BKF_sky
41,US,US-LA,belle chasse,BCS,29.8661003113,-90.0222015381,BCS_sky
42,US,US-CA,san pedro,SPQ,33.7491989136,-118.275001526,SPQ_sky
43,US,US-NY,new york,TSS,40.74259948730469,-73.97209930419922,TSS_sky
44,US,US-NY,new york,QNY,40.734001,-73.9729,QNY_sky
45,US,US-OK,blackwell,BWL,36.7958984375,-97.3170013428,BWL_sky
46,US,US-AK,yes bay,WYB,55.9163017273,-131.800994873,WYB_sky
47,US,US-WA,center island,CWS,48.4901008606,-122.832000732,CWS_sky
48,US,US-AK,tatitlek,TEK,60.871449,-146.690297,TEK_sky
49,US,US-NC,corolla,DUF,36.2535018921,-75.7884979248,DUF_sky
50,US,US-WA,friday harbor,SSW,48.673379,-123.175439,SSW_sky
51,US,US-CA,fort bragg,FOB,39.4743003845,-123.79599762,FOB_sky
52,US,US-WA,poulsbo,PUL,47.734001159668,-122.64700317383,PUL_sky
53,US,US-CA,los angeles,CCD,34.060798645,-118.417999268,CCD_sky
54,US,US-AK,meyers chuck,WMK,55.7396011353,-132.255004883,WMK_sky
55,US,US-NY,alexandria bay,AXB,44.312002,-75.90034,AXB_sky
56,US,US-TX,lubbock,REE,33.590301513672,-102.03700256348,REE_sky
57,US,US-WA,eastsound,WDN,48.7118,-123.017998,WDN_sky
58,US,US-AK,whale pass,WWP,56.116299,-133.121994,WWP_sky
59,US,US-AK,chuathbaluk,CHU,61.579102,-159.216003,CHU_sky
60,US,US-AK,ugashik,UGS,57.5279006958,-157.399002075,UGS_sky
61,US,US-MA,marlboro,MXG,42.343201,-71.509002,MXG_sky
62,US,US-PA,essington,PSQ,39.859001159668,-75.299598693848,PSQ_sky
63,US,US-AK,levelock,KLL,59.128101348899996,-156.85899353,KLL_sky
64,US,US-AK,saginaw bay,SGW,56.8862991333,-134.158004761,SGW_sky
65,US,US-AK,tuntutuliak,WTL,60.3353004456,-162.667007446,WTL_sky
66,US,US-AK,twin hills,TWA,59.07559967041,-160.27299499512,TWA_sky
67,US,US-AK,chignik lake,KCQ,56.2550010681,-158.774993896,KCQ_sky
68,SO,SO-GA,adado,AAD,6.095802,46.6375,AAD_sky
69,PG,PG-WPD,atkamba mission,ABP,-6.0655555555600005,141.095277778,ABP_sky
70,PG,PG-CPM,abau,ABW,-10.1956,148.7389,ABW_sky
71,PH,PH-PAM,magalang,WAP,15.253888,120.677222,WAP_sky
72,AD,AD-08,escaldes engordany,ALV,42.511174,1.533551,ALV_sky
73,PG,PG-EHG,andekombe,ADC,-7.13722222222,145.744722222,ADC_sky
74,SD,SD-DE,el daein,ADV,11.4023,26.1186,ADV_sky
75,AE,AE-DU,jebel ali,DJH,24.988967,55.023796,DJH_sky
76,SS,SS-23,none,AEE,10.0536111111,32.9594444444,AEE_sky
77,ES,ES-CA,algeciras,AEI,36.12888,-5.441118,AEI_sky
